"","x"
"T4_B9.S183","T4_other"
"T4_C10.S192","T4_SMC"
"T4_C11.S200","T4_other"
"T4_C12.S208","T4_pigmentation"
"T4_C1.S120","T4_other"
"T4_C2.S128","T4_other"
"T4_C3.S136","T4_other"
"T4_C4.S144","T4_SMC"
"T4_C6.S160","T4_other"
"T4_C7.S168","T4_SMC"
"T4_C8.S176","T4_SMC"
"T4_C9.S184","T4_SMC"
"T4_D10.S193","T4_SMC"
"T4_D11.S201","T4_SMC"
"T4_D12.S209","T4_SMC"
"T4_D2.S129","T4_invasion"
"T4_D3.S137","T4_SMC"
"T4_D4.S145","T4_other"
"T4_D5.S153","T4_SMC"
"T4_D6.S161","T4_SMC"
"T4_D7.S169","T4_SMC"
"T4_D8.S177","T4_other"
"T4_D9.S185","T4_pigmentation"
"T4_E10.S194","T4_pigmentation"
"T4_E11.S202","T4_other"
"T4_E12.S210","T4_SMC"
"T4_E1.S122","T4_SMC"
"T4_E2.S130","T4_SMC"
"T4_E3.S138","T4_other"
"T4_E4.S146","T4_invasion"
"T4_E5.S154","T4_other"
"T4_E6.S162","T4_other"
"T4_E7.S170","T4_other"
"T4_E8.S178","T4_other"
"T4_E9.S186","T4_pigmentation"
"T4_F10.S195","T4_other"
"T4_F11.S203","T4_SMC"
"T4_F12.S211","T4_pigmentation"
"T4_F2.S131","T4_other"
"T4_F3.S139","T4_other"
"T4_F4.S147","T4_other"
"T4_F5.S155","T4_SMC"
"T4_F6.S163","T4_SMC"
"T4_F7.S171","T4_SMC"
"T4_F8.S179","T4_SMC"
"T4_F9.S187","T4_SMC"
"T4_G10.S196","T4_SMC"
"T4_G11.S204","T4_SMC"
"T4_G12.S212","T4_SMC"
"T4_G1.S124","T4_other"
"T4_G2.S132","T4_SMC"
"T4_G3.S140","T4_SMC"
"T4_G4.S148","T4_other"
"T4_G5.S156","T4_other"
"T4_G6.S164","T4_SMC"
"T4_G8.S180","T4_SMC"
"T4_G9.S188","T4_SMC"
"T4_H11.S205","T4_SMC"
"T4_H1.S125","T4_SMC"
"T4_H2.S133","T4_SMC"
"T4_H3.S141","T4_other"
"T4_H4.S149","T4_SMC"
"T4_H5.S157","T4_other"
"T4_H8.S181","T4_other"
"T4_A11.S81","T4_SMC"
"T4_A14.S73","T4_SMC"
"T4_A1.S1","T4_other"
"T4_A2.S9","T4_SMC"
"T4_A6.S41","T4_SMC"
"T4_A7.S49","T4_other"
"T4_B11.S82","T4_SMC"
"T4_B12.S90","T4_SMC"
"T4_B14.S74","T4_SMC"
"T4_B1.S2","T4_other"
"T4_B2.S10","T4_other"
"T4_B3.S18","T4_SMC"
"T4_B4.S26","T4_SMC"
"T4_B6.S42","T4_SMC"
"T4_B7.S50","T4_invasion"
"T4_B9.S66","T4_SMC"
"T4_C11.S83","T4_SMC"
"T4_C12.S91","T4_SMC"
"T4_C14.S75","T4_other"
"T4_C1.S3","T4_other"
"T4_C2.S11","T4_invasion"
"T4_C3.S19","T4_SMC"
"T4_C5.S35","T4_SMC"
"T4_C6.S43","T4_SMC"
"T4_C7.S51","T4_SMC"
"T4_C8.S59","T4_SMC"
"T4_C9.S67","T4_SMC"
"T4_D11.S84","T4_invasion"
"T4_D12.S92","T4_other"
"T4_D14.S76","T4_SMC"
"T4_D1.S4","T4_other"
"T4_D2.S12","T4_other"
"T4_D3.S20","T4_NCSC"
"T4_D4.S28","T4_other"
"T4_D7.S52","T4_SMC"
"T4_D9.S68","T4_SMC"
"T4_E14.S77","T4_SMC"
"T4_E1.S5","T4_other"
"T4_E2.S13","T4_invasion"
"T4_E3.S21","T4_other"
"T4_E4.S29","T4_other"
"T4_E5.S37","T4_other"
"T4_E6.S45","T4_SMC"
